strategy,symbol,date,direction,score,result,rMult,entry,sl,tp,rr,w1_in_favor,w1_touching_ema,w1_candle_rejection,w1_pattern,d1_in_favor,d1_aoi,d1_touching_ema,d1_candle_rejection,d1_structure_rejection,d1_pattern,h4_in_favor,h4_ema_touch,h4_candle_rejection,h4_pattern
SAF_CHECKLIST,XAUUSD,2003-12-23,LONG,5,win,1.82,409.32400,406.56500,414.84200,2.00,0,0,0,0,1,0,0,1,1,0,1,1,0,0
SAF_CHECKLIST,USDCHF,2003-12-23,SHORT,5,win,1.90,1.25854,1.26339,1.24884,2.00,0,0,1,0,1,0,0,1,0,0,1,1,0,0
SAF_CHECKLIST,USDCHF,2003-12-23,SHORT,5,win,1.88,1.25590,1.26006,1.24758,2.00,0,0,1,0,1,0,0,1,0,0,1,1,0,0
SAF_CHECKLIST,XAUUSD,2003-12-23,LONG,5,win,1.81,409.16000,406.56500,414.35000,2.00,0,0,0,0,1,0,0,1,1,0,1,1,0,0
SAF_CHECKLIST,USDJPY,2003-12-23,SHORT,5,win,1.92,107.35200,107.97900,106.09800,2.00,0,0,0,0,1,0,0,1,0,0,1,1,1,0
SAF_CHECKLIST,XAUUSD,2003-12-23,LONG,5,win,1.87,410.29800,406.56500,417.76400,2.00,0,0,0,0,1,0,0,1,1,0,1,1,0,0
SAF_CHECKLIST,USDCHF,2003-12-23,SHORT,5,win,1.90,1.25853,1.26339,1.24881,2.00,0,0,1,0,1,0,0,1,0,0,1,1,0,0
SAF_CHECKLIST,USDCHF,2003-12-24,SHORT,5,win,1.86,1.25646,1.25991,1.24956,2.00,0,0,1,0,1,0,0,0,0,0,1,1,0,1
SAF_CHECKLIST,USDCHF,2003-12-24,SHORT,5,timeout,0.06,1.24771,1.25991,1.22331,2.00,0,0,1,0,1,0,0,0,0,0,1,0,1,1
SAF_CHECKLIST,USDCHF,2003-12-25,SHORT,5,timeout,1.43,1.24612,1.25991,1.21854,2.00,0,0,1,0,1,0,0,0,0,0,1,0,1,1
SAF_CHECKLIST,USDJPY,2003-12-29,SHORT,5,loss,-1.08,106.89200,107.49800,105.68000,2.00,0,0,1,0,1,0,0,0,0,0,1,1,1,0
SAF_CHECKLIST,USDJPY,2003-12-30,SHORT,5,loss,-1.09,106.91000,107.49800,105.73400,2.00,0,0,1,0,1,0,0,0,0,0,1,1,1,0
SAF_CHECKLIST,XAUUSD,2004-01-01,LONG,5,win,1.90,414.89000,409.64700,425.37600,2.00,0,0,0,0,1,0,0,1,0,0,1,1,1,0
SAF_CHECKLIST,USDJPY,2004-01-01,SHORT,5,win,1.79,107.26500,107.49800,106.79900,2.00,0,0,1,0,1,1,0,0,0,0,1,1,0,0
SAF_CHECKLIST,USDJPY,2004-01-01,SHORT,5,win,1.83,107.19500,107.49800,106.58900,2.00,0,0,1,0,1,1,0,0,0,0,1,1,0,0
SAF_CHECKLIST,USDJPY,2004-01-01,SHORT,5,win,1.99,107.35500,107.49800,107.02000,2.34,0,0,1,0,1,1,0,0,0,0,1,1,0,0
SAF_CHECKLIST,USDJPY,2004-01-02,SHORT,5,loss,-1.30,106.97100,107.13700,106.63900,2.00,0,0,1,0,1,0,0,0,0,0,1,1,1,0
SAF_CHECKLIST,USDJPY,2004-01-07,SHORT,5,loss,-1.04,106.11500,107.29400,103.75700,2.00,0,0,1,0,1,0,0,0,0,0,1,1,1,0
SAF_CHECKLIST,USDJPY,2004-01-09,SHORT,5,loss,-1.07,106.61900,107.29400,105.26900,2.00,0,0,1,0,1,1,0,0,0,0,1,1,0,0
SAF_CHECKLIST,USDJPY,2004-01-09,SHORT,5,loss,-1.06,106.41400,107.29400,104.65400,2.00,0,0,1,0,1,1,0,0,0,0,1,1,0,0
SAF_CHECKLIST,USDJPY,2004-01-09,SHORT,5,loss,-1.06,106.38500,107.29400,104.56700,2.00,0,0,1,0,1,1,0,0,0,0,1,1,0,0
SAF_CHECKLIST,USDCHF,2004-01-14,SHORT,5,loss,-1.03,1.23000,1.24844,1.19312,2.00,0,0,0,0,1,0,0,0,1,0,1,1,1,0
SAF_CHECKLIST,USDCHF,2004-01-15,SHORT,5,loss,-1.05,1.23756,1.24844,1.21580,2.00,0,0,0,0,1,1,0,0,1,0,1,1,0,0
SAF_CHECKLIST,USDJPY,2004-01-15,SHORT,5,timeout,-0.03,106.05600,108.19300,101.78200,2.00,0,0,0,0,1,1,0,1,0,0,1,1,0,0
